Publish time,Post type,Title,Reactions,Comments,Shares,Total Engagement,Reach,Views,Permalink
11/18/2025 22:29,Videos,"Juankada, narito na ang mechanics para maka-sali sa Mas Pinasaya, Mas Pinaganda, at Mas Pinaraming Surpresa ni Juan! ğŸ¥³ğŸ¤©

Donâ€™t forget â€” more shares, more chances of winning, kaya ishare niyo na ng ishare! ğŸ’¥

Ready na ba kayong manalo â€” LIVE sa Juan365 Livestream ğŸ˜‰

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2",60888,12836,11048,84772,269883,553003.0,https://www.facebook.com/reel/818901960987498/
11/25/2025 4:00,Videos,"A super bonggang Surpresa ni Juan is on the way! Maagang pamasko is here, with our Newest Juankada Criselda Alvarez! Celebrate the season with Juan365 â€” All in Juan sa Saya!

Click here for the Full Mechanics: https://www.facebook.com/share/r/1Bpt4t2Twg/
  
#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",40686,7806,3347,51839,192476,380653.0,https://www.facebook.com/reel/767772532983788/
8/22/2025 5:30,Photos,"Congratulations to the FIRST 100 JuanM Pasasalamat winners of 500 FREE Juan365 Credits! ğŸ‰

Follow Juan365 para updated ka sa next wave of winners!

#Juan365 #Juan365PH #AllInJuanSaSaya #Juankada #JuanMGiveaway",2915,1250,238,4403,212881,471196.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02z7agEXayQ5qgjtwvq7fEc1BwhKWz3L5ikUdRYfWKLWEd5VF5ejBgwnxsgSLKrU9Tl
8/27/2025 8:00,Videos,"Para mabuo si Juan, hanapin mo muna ang nawawalang piraso! ğŸ§©âœ¨
20 lucky Juankada ang may chance magkaroon ng total of 6,000 worth of free Juan365 credits! ğŸ‰

Mechanics:
1ï¸âƒ£ Follow Juan365 Official Page and Juan365 Cares Page
2ï¸âƒ£ Comment your answers kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page at Juan365 Cares Page
3ï¸âƒ£ Tag 3 friends

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",1189,1645,393,3227,44699,53673.0,https://www.facebook.com/Juan365officialpage/videos/2033808590844346/
9/1/2025 16:30,Photos,"First 3 words na makita moâ€¦ yan ang darating saâ€™yo ngayong September!

Huwag pahuliâ€”join the fun with Juan! Message us to guide you, Juankada ğŸ§‘â€ğŸŒ¾ğŸ‰

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1090,1888,214,3192,55005,104913.0,https://www.facebook.com/Juan365officialpage/posts/pfbid0hCDjpaSLVwtCk7ziSwEkGL2VfZQzkqipNn16gBTkeKFLYwWxtohp763yPrrGYvCdl
11/24/2025 2:11,Videos,"Itâ€™s official! ğŸ¤ Welcome to the Juan365 fam, Criselda Alvarez!
All set and ready with our newest ambassador â€” letâ€™s make every play legendary!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #CriseldaAlvarez",2709,221,215,3145,283890,320864.0,https://www.facebook.com/reel/819915094014124/
8/25/2025 1:01,Photos,"Sagutan ang aming mini crossword at ipakita ang galing mo!ğŸ’¡
10 lucky Juankada ang may chance magkaroon ng total of 3,000 worth of free Juan365 credits! ğŸ‰

Mechanics:
1ï¸âƒ£ Follow Juan365 official Page  and Juan365 Cares 
2ï¸âƒ£ Comment your answers kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Cares Page
3ï¸âƒ£ Tag 3 friends

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",909,1691,508,3108,44985,87609.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02WtWgG9se6ist7sBrw2ND6jk7hWTParsdNfH56Ty9JzY9ART62rwfhfR6xcKAdmqBl
8/30/2025 21:30,Photos,"Be part of the Juan365 Official FB Community Group and connect with everyJuan! 10 Juankada ang may chance magkaroon ng total of 3,000 worth of free Juan365 credits! 
ğŸ’™ Pag umabot ng 5K shares itong post, may additional 10 Juankada pa na mapipili!

Mechanics:
1ï¸âƒ£ Join the Juan365 Official Group 
2ï¸âƒ£ Follow both Juan365  and Juan365 Cares 
3ï¸âƒ£ Comment your User ID and attach a screenshot showing youâ€™ve completed all steps
4ï¸âƒ£ Tag 3 friends and invite them to join the community

Makisaya, makikulitan, at sumama sa mga community events kasama ang Juankada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1163,1354,538,3055,63288,116464.0,https://www.facebook.com/Juan365officialpage/posts/pfbid0F1Ksmsapjcaij6qT7qRTBGuYFKw3uTAA9La7ciAQZoeC2ZCtjqgNLX38sHK7483jl
8/25/2025 1:51,Photos,"ğŸ‰ BONUS ALERT, Juankada! ğŸ‰

Over 150,000 players are getting up to Tenkyaw bonus TODAY No mechanics, just play at Juan365 and claim your reward! 

Follow us for more updates Juankada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #bonusday",1815,1086,98,2999,189057,412689.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02bRpQCnYGQGUGDXHetX9xGSD67ejWN12qMG5z1tgfuyVDrizuMZ2qzV7epPJGipgBl
9/9/2025 16:30,Photos,"Anong favorite color mo, Juankada? Comment mo na yan, malay mo! ğŸ˜‰

Huwag pahuliâ€”join the fun with Juan! Message us to guide you, Juankada ğŸ§‘â€ğŸŒ¾ğŸ‰

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",986,1563,164,2713,40555,78197.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02fsmixFaqNPt2g27HcDBV9ZU3xL69CCrWJnzZPSvejCQnXzXwb27bk22eMbkXUFPYl
8/22/2025 1:10,Videos,"Nasaan si Juan?
10 lucky Juankada ang may chance magkaroon ng total of 3,000 worth of free Juan365 credits! ğŸ‰

Mechanics:
1ï¸âƒ£ Follow Juan365 Official Page
2ï¸âƒ£ Comment your answer kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",1153,1161,392,2706,40017,58292.0,https://www.facebook.com/Juan365officialpage/videos/966184195637211/
6/12/2025 6:02,Photos,"ğŸ”¥ A New Era Just Dropped. ğŸ”¥

Heâ€™s got the vibe.
Heâ€™s got the style.
And now, heâ€™s bringing his signature swag to every Juanâ€™s winning journey. ğŸ¯

Please welcome the multi-talented game-changer â€”JAMES REID â€” as the newest face of Juan365! ğŸ’¥ With James on board, expect everyday wins to look cooler, feel better, and hit harder.
Because here at Juan365, we donâ€™t just play â€”
we live the Juan life, the James Reid way. ğŸ’«

Register Here: https://juan365.ph/

#Juan365 #Juan365PH #AllInJuanSaSaya",1224,929,332,2485,58213,146592.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02qq4FtnkcZySedjFi6U5Wwkhb79HDJ2hZKEBupQgZJfWBMzbo4Vq6j5YMLetNzKv7l
8/13/2025 8:01,Photos,"200 JuanMkada CONFIRMED!

Juankada, malapit na naming ibunyag ang unang batch ng maswerteng Juanalos! Ready ka na bang makita kung kasama ka? 

Stay tuned for the big announcement!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",1377,735,157,2269,67267,139151.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02GhBDs1HdHUGXb3fYEqRBrqbyk5cpabCxt8Ha5YNTnVVsR2MvqdS8YqyFzo723G6ol
8/28/2025 18:17,Videos,"Comment mo na yan! Malay mo diba...
Tutok na mamayang 7:30PM sa Juan365 Live Stream!

Mechanics:
1ï¸âƒ£ Follow Juan365 Official Page and Juan365 Live Stream Page
2ï¸âƒ£ Comment your answer kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page at Juan365 Livestream Page
3ï¸âƒ£ Tag 3 friends

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #GforEveryJuan",860,1125,245,2230,17826,22420.0,https://www.facebook.com/Juan365officialpage/videos/769318972539708/
8/23/2025 0:01,Photos,"ğŸ“£Juankada Announcement ğŸ“£ 

Nagkaroon ng system error noong Aug 21, 10:30 p.m. â€“ Aug 22, 6:00 a.m. at may ilang players na nawalan ng gold coins. 
Bilang pasensya, Juan365 will refund double the lost amount! 
Contact customer service to claim. ğŸ™Œ

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1059,1080,54,2193,202002,434677.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02JFbyhHVDenqmhZEA7AknqfHPrrA1agwRD29WWcCwpnBgboGKDCGrkFsvDdWUcH9Zl
8/20/2025 21:30,Photos,"Juan tanong, Juan sagot! ğŸ‰ 
Comment na! 10 lucky Juankada ang pipiliin, kaya tutok na mamayang 6PM sa Juan365 Live Stream , doon ia-announce ang lucky 10 Juankada!

Mechanics:
1ï¸âƒ£ Like the Juan365 Livestream page
2ï¸âƒ£ Comment your answer together with your User ID and a screenshot showing that you liked/followed our livestream page

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",988,979,219,2186,45322,91509.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02dn7TwiT11Hadyt6AhCDPV3z1MJ6MdexTgkwLpFLwATBvCfXG8gRbZFLMrrjzxPbPl
8/9/2025 5:37,Photos,"ğŸš€ JUAN MILLION, JUANKADA! ğŸš€
1,000,000 followers?! Grabe kayo! ğŸ’™ğŸ§¡
From Day 1 hanggang ngayonâ€”solid ang suporta nâ€™yo! ğŸ™ŒğŸ”¥
Pero waitâ€¦ hindi pa dito nagtatapos! ğŸ‘€ğŸ’¸

Salamat, Juankadaâ€”this win is for EveryJUAN! ğŸ«¶
 #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",1335,666,173,2174,71827,148330.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02fVPEuwW8tgKesZszLt6KZKA9dd9U1cQWz1YFpmuKQxbrYFoAjvTSFUmbVR6UM78Bl
8/28/2025 5:01,Photos,"Congratulations sa 20 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1415,698,57,2170,104706,227235.0,https://www.facebook.com/Juan365officialpage/posts/pfbid0ETYdNtxQacNVaHQ1gx1Q12Ky9m5CEsAA3yViMDXhACbdqcvyKSya82Jv8MZzHpXNl
8/26/2025 5:00,Photos,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",1329,634,61,2024,87455,166192.0,https://www.facebook.com/Juan365officialpage/posts/pfbid02qGQLSC5zzDSCsLgmfGhLBp7VHx8x9D4n5WnsGfHhix2pQSD7aDG9MJNUA9Low2jbl
8/30/2025 1:01,Videos,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1316,597,99,2012,50491,55738.0,https://www.facebook.com/Juan365officialpage/videos/728292093709219/
